1,,,set_description,"",1,YToyOntzOjEwOiJmaWVsZFdpZHRoIjtzOjI6IjcwIjtzOjExOiJmaWVsZEhlaWdodCI7czoxOiI2Ijt9,0,1.00000000000000000000,4294967296.00000000000000000000,1
2,,,set_item_description,"",1,YToyOntzOjEwOiJmaWVsZFdpZHRoIjtzOjI6IjcwIjtzOjExOiJmaWVsZEhlaWdodCI7czoxOiI2Ijt9,0,1.00000000000000000000,4294967296.00000000000000000000,2
3,,5,set_presentation_type,"",3,Tjs=,0,1.00000000000000000000,4294967296.00000000000000000000,3
4,,6,set_item_is_primary,"",3,Tjs=,0,1.00000000000000000000,4294967296.00000000000000000000,4
5,,,set_chron_date_element_code,"",1,YToxOntzOjEwOiJmaWVsZFdpZHRoIjtzOjI6IjcwIjt9,0,1.00000000000000000000,4294967296.00000000000000000000,5
6,,,loan_authorization_date,"",2,YToxOntzOjEwOiJmaWVsZFdpZHRoIjtzOjI6IjQwIjt9,0,1.00000000000000000000,4294967296.00000000000000000000,6
7,,,loan_in_date,"",2,YToxOntzOjEwOiJmaWVsZFdpZHRoIjtzOjI6IjQwIjt9,0,1.00000000000000000000,4294967296.00000000000000000000,7
8,,,loan_out_date,"",2,YToxOntzOjEwOiJmaWVsZFdpZHRoIjtzOjI6IjQwIjt9,0,1.00000000000000000000,4294967296.00000000000000000000,8
9,,,loan_return_date,"",2,YToxOntzOjEwOiJmaWVsZFdpZHRoIjtzOjI6IjQwIjt9,0,1.00000000000000000000,4294967296.00000000000000000000,9
10,,,loan_renewal_date,"",2,YToxOntzOjEwOiJmaWVsZFdpZHRoIjtzOjI6IjQwIjt9,0,1.00000000000000000000,4294967296.00000000000000000000,10
11,,,loan_conditions,"",1,YToyOntzOjEwOiJmaWVsZFdpZHRoIjtzOjI6IjcwIjtzOjExOiJmaWVsZEhlaWdodCI7czoxOiIzIjt9,0,1.00000000000000000000,4294967296.00000000000000000000,11
12,,,loan_note,"",1,YToyOntzOjEwOiJmaWVsZFdpZHRoIjtzOjI6IjcwIjtzOjExOiJmaWVsZEhlaWdodCI7czoxOiIzIjt9,0,1.00000000000000000000,4294967296.00000000000000000000,12
13,,,loan_purpose,"",1,YToyOntzOjEwOiJmaWVsZFdpZHRoIjtzOjI6IjcwIjtzOjExOiJmaWVsZEhlaWdodCI7czoxOiIzIjt9,0,1.00000000000000000000,4294967296.00000000000000000000,13
14,,,movement_method,"",1,YToxOntzOjEwOiJmaWVsZFdpZHRoIjtzOjI6IjcwIjt9,0,1.00000000000000000000,4294967296.00000000000000000000,14
15,,,movement_note,"",1,YToxOntzOjEwOiJmaWVsZFdpZHRoIjtzOjI6IjcwIjt9,0,1.00000000000000000000,4294967296.00000000000000000000,15
16,,,planned_removal_date,"",2,YToxOntzOjEwOiJmaWVsZFdpZHRoIjtzOjI6IjQwIjt9,0,1.00000000000000000000,4294967296.00000000000000000000,16
17,,,removal_date,"",2,YToxOntzOjEwOiJmaWVsZFdpZHRoIjtzOjI6IjQwIjt9,0,1.00000000000000000000,4294967296.00000000000000000000,17
18,,,movement_reason,"",1,YToxOntzOjEwOiJmaWVsZFdpZHRoIjtzOjI6IjcwIjt9,0,1.00000000000000000000,4294967296.00000000000000000000,18
19,,,tour_description,"",1,YToyOntzOjEwOiJmaWVsZFdpZHRoIjtzOjI6IjcwIjtzOjExOiJmaWVsZEhlaWdodCI7czoxOiI2Ijt9,0,1.00000000000000000000,4294967296.00000000000000000000,19
20,,,tour_stop_description,"",1,YToyOntzOjEwOiJmaWVsZFdpZHRoIjtzOjI6IjcwIjtzOjExOiJmaWVsZEhlaWdodCI7czoxOiI2Ijt9,0,1.00000000000000000000,4294967296.00000000000000000000,20
21,,,tour_stop_georeference,"",4,Tjs=,0,1.00000000000000000000,4294967296.00000000000000000000,21
22,,,description,"",1,YTozOntzOjE2OiJ1c2V3eXNpd3lnZWRpdG9yIjtzOjE6IjEiO3M6MTA6ImZpZWxkV2lkdGgiO3M6NToiNjQwcHgiO3M6MTE6ImZpZWxkSGVpZ2h0IjtzOjE6IjYiO30=,0,1.00000000000000000000,4294967296.00000000000000000000,22
23,,,description_source,"",1,YToyOntzOjEwOiJmaWVsZFdpZHRoIjtzOjU6IjY0MHB4IjtzOjExOiJmaWVsZEhlaWdodCI7czoxOiIzIjt9,0,1.00000000000000000000,4294967296.00000000000000000000,23
24,,,external_link,"",0,YToxOntzOjE3OiJkb2VzTm90VGFrZUxvY2FsZSI7czoxOiIxIjt9,0,1.00000000000000000000,4294967296.00000000000000000000,24
25,24,,url_line1,"",0,Tjs=,0,4295.96729500000000000000,8590.93459000000000000000,24
26,25,,url_source,"",1,YTo0OntzOjEwOiJmaWVsZFdpZHRoIjtzOjU6IjY0MHB4IjtzOjExOiJmaWVsZEhlaWdodCI7czoxOiIyIjtzOjg6Im1pbkNoYXJzIjtzOjE6IjAiO3M6ODoibWF4Q2hhcnMiO3M6NToiNjU1MzUiO30=,0,4725.46402450000000000000,5154.96075400000000000000,24
